year,device,count,Decade
1963,BOTTLES,1,1960
1963,CHERUBS,1,1960
1963,BIRD,10,1960
1963,EAGLES,1,1960
1963,DOUBLE-HEADED,1,1960
1963,WINGS,7,1960
1963,OUTSTRETCHED,4,1960
1963,KINGS,1,1960
1963,MOSAIC,1,1960
1963,STAINED,1,1960
1963,GLASS,3,1960
1963,WINDOW,1,1960
1963,CURL,1,1960
1963,HAIR,1,1960
1963,CORONET,12,1960
1963,LEAVES,6,1960
1963,MAPLE,1,1960
1963,LEAF,2,1960
1963,HEXAGON,12,1960
1963,GLOBE,13,1960
1963,WORLD,11,1960
1963,ZIP,1,1960
1963,FASTENER,1,1960
1963,FLAME,4,1960
1963,OVAL,16,1960
1963,DOUBLE,17,1960
1963,ARROWS,12,1960
1963,WAVY,3,1960
1963,LETTERS,6,1960
1963,BREAK,1,1960
1963,TRIPLE,1,1960
1963,TRICUSPID,2,1960
1963,CLOCK,1,1960
1963,TOWNCRIER,1,1960
1963,INCOMPLETE,7,1960
1963,STRIPE,7,1960
1963,ANGLED,13,1960
1963,FORM,4,1960
1963,CL,1,1960
1963,CASTLE,3,1960
1963,HORSEBACK,2,1960
1963,HORSE,8,1960
1963,FLYING,2,1960
1963,INSECT,2,1960
1963,SCREEN,1,1960
1963,YELLOW,1,1960
1963,BORDER,3,1960
1963,RECTANGLES,9,1960
1963,ROUNDED-CORNERS,5,1960
1963,SCROLL,5,1960
1963,RAMPANT,4,1960
1963,BOY,4,1960
1963,CARTOON,6,1960
1963,LICKING,1,1960
1963,LIPS,1,1960
1963,WEARING,7,1960
1963,POINTED,10,1960
1963,STAR,5,1960
1963,MULTI-POINT,1,1960
1963,SERRATED,1,1960
1963,WITHIN,3,1960
1963,JELLY,1,1960
1963,PUDDING,1,1960
1963,INNOMINATE,2,1960
1963,DEVICE,2,1960
1963,COAT,5,1960
1963,ARMS,5,1960
1963,CROWN,10,1960
1963,IMPERIAL,6,1960
1963,ATOP,2,1960
1963,ELLIPSE,10,1960
1963,BULLOCK,3,1960
1963,PULLING,3,1960
1963,LOADED,3,1960
1963,WAGON,3,1960
1963,WHEELED,4,1960
1963,HALVED,8,1960
1963,VERTICAL,9,1960
1963,AND,25,1960
1963,GRAPES,6,1960
1963,BUNCH,5,1960
1963,BUILDING,4,1960
1963,FIELDS,1,1960
1963,PLOUGHED,1,1960
1963,GLASSES,2,1960
1963,WINE,2,1960
1963,CHEF'S,2,1960
1963,CAP,1,1960
1963,CARRYING,1,1960
1963,TRAY,1,1960
1963,HAMBURGER,1,1960
1963,DRINK,1,1960
1963,HUNTER,1,1960
1963,SPEAR,1,1960
1963,MOUNTAIN,1,1960
1963,SNOW,1,1960
1963,ANNULUS,5,1960
1963,BOAT,3,1960
1963,SAILING,2,1960
1963,SHIP,3,1960
1963,LIFEBELT,1,1960
1963,SAILOR,1,1960
1963,CURVED,2,1960
1963,FLOWER,6,1960
1963,FIREMAN'S,1,1960
1963,BLIND,1,1960
1963,DRAPE,1,1960
1963,DISH,1,1960
1963,NOTCHED-ENDS,3,1960
1963,PARALLELOGRAM,3,1960
1963,TRIANGLE,14,1960
1963,CENTRE,8,1960
1963,FORMING,18,1960
1963,A,3,1960
1963,OR,5,1960
1963,CROSS,7,1960
1963,MAN'S,3,1960
1963,TURBAN,2,1960
1963,BOW,1,1960
1963,HAND,3,1960
1963,SOAP,1,1960
1963,CAKE,1,1960
1963,BULLDOG,1,1960
1963,CHEVRONS,6,1960
1963,OVER,2,1960
1963,SEMI-CIRCLES,1,1960
1963,BROKEN,1,1960
1963,LETTER,10,1960
1963,FLASK,5,1960
1963,RETORT,4,1960
1963,ANIMALS,2,1960
1963,DRAGONS,2,1960
1963,SUPPORTERS,3,1960
1963,BY,2,1960
1963,GREEK,4,1960
1963,DAGGER,2,1960
1963,ORNATE,3,1960
1963,ARABESQUES,3,1960
1963,BARREL,1,1960
1963,CART,2,1960
1963,PLUMED,1,1960
1963,LINER,2,1960
1963,PERIOD-COSTUME,1,1960
1963,DISC,10,1960
1963,ARROW,3,1960
1963,MINT,2,1960
1963,ARROWHEADS,1,1960
1963,PALETTE,2,1960
1963,ROSE,3,1960
1963,AUSTRALIAN,1,1960
1963,WATTLE,1,1960
1963,PAWPRINTS,1,1960
1963,WREATH,7,1960
1963,PUMP,1,1960
1963,INSIDE,10,1960
1963,JOCKEY,1,1960
1963,PANEL,1,1960
1963,AS,1,1960
1963,CIGARETTE,1,1960
1963,LIGHTER,1,1960
1963,FACE,1,1960
1963,PORTRAIT,1,1960
1963,WOMAN'S,1,1960
1963,IRREGULAR,1,1960
1963,SUN,3,1960
1963,FLAMES,6,1960
1963,BLACK,2,1960
1963,TOY,1,1960
1963,TRAIN,1,1960
1963,ENGINE,1,1960
1963,BOOMERANG,1,1960
1963,STARS,3,1960
1963,SOUTHERN,1,1960
1963,3,1,1960
1963,JAPANESE,2,1960
1963,CHARS,1,1960
1963,LID,1,1960
1963,TORCH,4,1960
1963,DIVIDED,6,1960
1963,ASPARAGUS,1,1960
1963,SPEARS,1,1960
1963,KANGAROO,2,1960
1963,FLIGHT,4,1960
1963,STYLERSQUE,1,1960
1963,CHILD,4,1960
1963,CAVEMAN,4,1960
1963,DROP,2,1960
1963,ANIMAL,1,1960
1963,TEDDY,2,1960
1963,BLOCKS,1,1960
1963,PLAYBOY,1,1960
1963,RABBIT,2,1960
1963,SILHOUTTE,1,1960
1963,BOWTIE,2,1960
1963,SQUARE,16,1960
1963,WARSHIP,1,1960
1963,SKIER,2,1960
1963,SEAL,1,1960
1963,STATIONERY,1,1960
1963,SMOKING,1,1960
1963,PIPE,1,1960
1963,H,2,1960
1963,LONDON-UNDERGROUND,2,1960
1963,CHARACTERS,2,1960
1963,CHINESE,1,1960
1963,LANTERN,1,1960
1963,CONCAVE-SIDES,1,1960
1963,KEYS,1,1960
