UID,lat,lon,applicant_type,application_year
399,-33.93,150.994,SME,2003
400,-34.873001,138.533,SME,2003
401,-34.936001,138.625,SME,2003
402,-34.936001,138.625,SME,2003
403,-32.984001,151.702,Private applicant,2003
404,-38.375,144.92,SME,2003
405,-37.834999,144.97301,SME,2003
406,-33.786999,151.12601,SME,2003
407,-25.541,152.702,Private applicant,2003
408,-33.758999,150.895,SME,2005
409,-34.837002,138.55299,Private applicant,2004
410,-35.332001,149.187,SME,2005
411,-33.897999,151.17799,SME,2005
412,-33.886002,151.21201,SME,2005
413,-33.825001,151.19501,SME,2004
414,-37.950001,145.136,SME,2005
415,-33.867001,151.207,SME,2005
416,-37.957001,145.07401,SME,2005
417,-38.403,146.16299,Private applicant,2005
418,-38.403,146.155,Private applicant,2005
419,-33.936001,151.008,SME,2005
420,-33.873001,151.207,SME,2005
421,-34.025002,151.19299,SME,2005
422,-31.951,115.836,SME,2004
423,-33.790001,151.131,SME,2005
424,-33.764,150.728,Large firm,2005
425,-37.779999,144.978,SME,2004
426,-37.785,144.959,SME,2005
427,-33.768002,151.158,SME,2005
428,-27.474001,152.99001,Private applicant,2005
429,-37.794998,144.957,SME,2005
430,-35.278999,149.146,Large firm,2005
431,-37.816002,144.95599,SME,2005
432,-33.719002,151.159,Private applicant,2003
433,-33.796001,151.285,SME,2003
434,-27.433001,153.061,Private applicant,2003
435,-37.841,145.19099,Private applicant,2003
436,-37.841,145.19099,Private applicant,2003
437,-37.811001,144.77499,SME,2003
438,-37.811001,144.77499,SME,2003
439,-37.814999,145.30901,SME,2003
440,-37.819,144.96001,Private applicant,2003
441,-34.243999,142.181,Private applicant,2003
442,-27.452999,153.103,SME,2003
443,-33.922001,151.196,SME,2003
444,-33.84,151.209,SME,2003
445,-33.887001,151.2,SME,2003
446,-37.806999,144.81599,Large firm,2003
447,-37.98,145.125,SME,2003
448,-33.948002,151.092,Private applicant,2003
449,-33.931,151.13901,Private applicant,2003
450,-33.931,151.13901,Private applicant,2003
451,-38.004002,145.142,Private applicant,2003
452,-27.362,153.054,Large firm,2003
453,-35.451,149.08299,Private applicant,2003
454,-35.451,149.08299,Private applicant,2003
455,-33.433998,151.38699,SME,2003
456,-33.862,151.18201,SME,2003
457,-33.862,151.17999,SME,2003
458,-37.813999,144.97,SME,2003
459,-37.830002,144.961,SME,2003
460,-37.778,145.168,Private applicant,2006
461,-33.777,151.114,SME,2005
462,-33.965,151.13499,SME,2005
463,-37.811001,145.01401,SME,2005
464,-37.811001,144.967,SME,2005
465,-37.811001,144.967,SME,2005
466,-31.771999,115.736,Private applicant,2005
467,-31.943001,115.837,Private applicant,2005
468,-33.919998,151.228,Large firm,2005
469,-37.592999,144.94299,Large firm,2005
470,-34.069,150.524,SME,2005
471,-37.813999,144.97,SME,2005
472,-33.805,150.94099,SME,2006
473,-34.816002,138.625,SME,2005
474,-33.869999,151.21001,SME,2005
475,-37.916,145.138,Large firm,2005
476,-37.84,145.008,SME,2005
477,-37.816002,144.95599,SME,2005
478,-27.507,153.056,Private applicant,2005
479,-33.855999,151.177,SME,2005
480,-33.855999,151.177,SME,2005
481,-33.855999,151.177,SME,2005
